,PA_standings_py_2,PA_standings_py_1,PA_standings_py,W_standings_py_2,W_standings_py_1,W_standings_py,Pts_scoring_py_2,Pts_scoring_py_1,Pts_scoring_py,SoS_standings_py_2,SoS_standings_py_1,SoS_standings_py,ANY/A_pass_def_py_2,ANY/A_pass_def_py_1,ANY/A_pass_def_py,ANY/A_passing_py_2,ANY/A_passing_py_1,ANY/A_passing_py,Y/A_rush_def_py_2,Y/A_rush_def_py_1,Y/A_rush_def_py,Y/A_rushing_py_2,Y/A_rushing_py_1,Y/A_rushing_py,FGM_scoring_py_2,FGM_scoring_py_1,FGM_scoring_py,FGM_scoring_def_py_2,FGM_scoring_def_py_1,FGM_scoring_def_py,W_standings_next
Atlanta Falcons (2010-2012),288.0,350.0,299.0,13.0,10.0,13.0,414.0,402.0,419.0,-1.8,0.3,-1.1,5.2,5.8,5.6,6.2,6.8,7.0,4.6,4.2,4.8,3.8,4.0,3.7,28.0,27.0,33.0,15.0,23.0,27.0,4.0
Tennessee Titans (2010-2012),339.0,317.0,471.0,6.0,9.0,6.0,356.0,325.0,330.0,0.0,-1.5,-1.2,5.6,5.7,6.2,5.8,6.1,5.1,3.9,4.5,4.2,4.3,3.8,4.5,24.0,29.0,25.0,39.0,27.0,29.0,7.0
Carolina Panthers (2010-2012),408.0,429.0,363.0,2.0,6.0,7.0,196.0,406.0,357.0,0.1,0.1,1.2,5.4,7.4,5.9,2.9,6.3,6.7,3.9,4.6,4.2,4.3,5.4,4.5,25.0,22.0,16.0,29.0,27.0,35.0,12.0
Pittsburgh Steelers (2010-2012),232.0,227.0,314.0,12.0,12.0,8.0,375.0,325.0,336.0,1.3,-0.8,-2.0,4.3,4.5,5.2,7.0,6.5,6.1,3.0,4.0,3.7,4.1,4.4,3.7,29.0,23.0,28.0,26.0,22.0,28.0,8.0
Arizona Cardinals (2010-2012),434.0,348.0,357.0,5.0,8.0,5.0,289.0,312.0,250.0,-3.6,0.0,3.5,5.9,5.8,4.9,3.7,4.9,3.4,4.4,4.2,4.3,4.3,4.2,3.4,24.0,19.0,25.0,40.0,35.0,25.0,10.0
Indianapolis Colts (2010-2012),388.0,430.0,387.0,10.0,2.0,11.0,435.0,243.0,357.0,-0.1,0.4,-2.8,6.1,7.2,6.5,6.5,4.6,5.6,4.6,4.3,5.1,3.8,4.2,3.8,26.0,23.0,26.0,31.0,29.0,32.0,11.0
Minnesota Vikings (2010-2012),348.0,449.0,348.0,6.0,3.0,10.0,281.0,340.0,379.0,2.6,1.1,1.4,5.7,7.4,6.1,4.1,4.6,5.0,3.9,3.9,4.0,4.4,5.2,5.4,17.0,22.0,35.0,18.0,32.0,25.0,5.0
Detroit Lions (2010-2012),369.0,387.0,437.0,6.0,10.0,4.0,362.0,476.0,372.0,2.3,0.6,1.8,5.9,5.3,6.2,5.5,7.0,6.0,4.5,5.0,4.5,4.0,4.3,4.1,25.0,24.0,32.0,19.0,30.0,31.0,7.0
San Diego Chargers (2010-2012),322.0,377.0,350.0,9.0,8.0,7.0,441.0,406.0,350.0,-2.6,-0.9,-2.3,4.6,6.7,6.0,7.8,6.6,5.4,3.7,4.4,3.8,4.0,4.3,3.6,27.0,28.0,25.0,16.0,25.0,19.0,9.0
San Francisco 49ers (2010-2012),346.0,229.0,273.0,6.0,13.0,11.0,305.0,380.0,397.0,-3.3,-1.1,2.5,6.0,4.9,4.9,5.6,6.2,7.1,3.5,3.5,3.7,4.1,4.1,5.1,22.0,44.0,29.0,28.0,22.0,22.0,12.0
New Orleans Saints (2010-2012),307.0,339.0,454.0,11.0,13.0,7.0,384.0,547.0,461.0,-2.5,-1.6,1.0,5.6,6.4,7.3,6.0,8.2,7.2,4.3,5.0,5.2,4.0,4.9,4.3,25.0,28.0,18.0,28.0,27.0,27.0,11.0
Seattle Seahawks (2010-2012),407.0,315.0,245.0,7.0,7.0,11.0,310.0,321.0,412.0,-3.4,0.4,1.8,6.5,5.0,4.6,4.7,5.0,7.1,4.2,3.8,4.5,3.7,4.0,4.8,25.0,25.0,24.0,25.0,28.0,23.0,13.0
Green Bay Packers (2010-2012),240.0,359.0,336.0,10.0,15.0,11.0,388.0,560.0,433.0,1.7,-1.2,1.2,4.1,6.0,5.1,7.2,9.4,7.4,4.7,4.7,4.5,3.8,3.9,3.9,22.0,24.0,21.0,24.0,22.0,26.0,8.0
Cincinnati Bengals (2010-2012),395.0,323.0,320.0,4.0,9.0,10.0,322.0,344.0,391.0,3.1,-0.9,-2.4,5.9,5.7,5.1,5.5,5.6,5.8,4.4,3.9,4.1,3.6,3.9,4.1,24.0,33.0,30.0,28.0,22.0,27.0,11.0
Kansas City Chiefs (2010-2012),326.0,338.0,425.0,10.0,7.0,2.0,366.0,212.0,211.0,-3.2,-0.2,-0.6,5.4,5.8,7.7,6.2,4.7,3.8,4.3,4.2,4.5,4.7,3.9,4.8,20.0,24.0,28.0,20.0,23.0,32.0,11.0
Dallas Cowboys (2010-2012),436.0,347.0,400.0,6.0,8.0,8.0,394.0,369.0,376.0,0.5,0.3,1.8,6.4,6.3,7.0,6.2,7.1,6.4,4.3,4.1,4.5,4.2,4.4,3.6,24.0,32.0,29.0,25.0,26.0,29.0,8.0
Philadelphia Eagles (2010-2012),377.0,328.0,444.0,10.0,8.0,4.0,439.0,396.0,280.0,0.3,0.5,1.4,5.3,5.7,7.3,6.4,5.8,5.2,4.2,4.4,4.2,5.4,5.1,4.5,32.0,24.0,27.0,18.0,16.0,27.0,10.0
New England Patriots (2010-2012),313.0,342.0,331.0,14.0,13.0,12.0,518.0,513.0,557.0,2.6,-1.4,-1.4,5.4,6.4,6.3,8.2,8.3,7.4,4.2,4.6,3.9,4.3,4.0,4.2,22.0,28.0,29.0,19.0,20.0,21.0,12.0
Chicago Bears (2010-2012),286.0,341.0,277.0,11.0,8.0,10.0,334.0,353.0,375.0,1.1,0.9,0.8,4.7,5.4,4.3,4.8,4.7,5.1,3.7,4.0,4.2,3.9,4.4,4.2,25.0,28.0,27.0,21.0,30.0,23.0,8.0
Denver Broncos (2010-2012),471.0,390.0,289.0,4.0,8.0,13.0,344.0,309.0,481.0,-1.0,-0.2,-1.9,7.3,6.6,4.9,6.4,4.8,7.8,4.7,4.1,3.6,3.9,4.8,3.8,22.0,19.0,26.0,29.0,32.0,22.0,13.0
