Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2012-09-23, Rams, 59, 17, 101, 35, 18, 4, 40, 0, 2, 12, 13, 3, 1, 0, 1564, 6, Bears, 103, 34, 171, 31, 17, 6, 45, 0, 1, 20, 14, 4, 1, 1, 2036, 23
2012-09-23, Chiefs, 273, 45, 237, 44, 26, 6, 40, 2, 1, 27, 18, 7, 2, 2, 2552, 27, Saints, 83, 19, 205, 36, 20, 4, 45, 0, 1, 14, 13, 5, 0, 0, 1561, 24
2012-09-23, Steelers, 54, 20, 379, 49, 36, 10, 81, 2, 0, 24, 14, 8, 2, 2, 2175, 31, Raiders, 119, 21, 202, 34, 24, 3, 25, 0, 1, 21, 12, 7, 0, 0, 1425, 34
2012-09-23, Texans, 152, 34, 284, 30, 17, 9, 69, 1, 1, 23, 14, 7, 0, 0, 1900, 31, Broncos, 59, 21, 316, 52, 26, 7, 75, 1, 0, 24, 17, 6, 0, 0, 1700, 25
2012-09-23, Jets, 93, 32, 295, 45, 21, 9, 108, 0, 2, 21, 17, 6, 1, 1, 2123, 23, Dolphins, 185, 43, 196, 36, 16, 11, 65, 1, 1, 23, 19, 10, 0, 0, 2013, 20
2012-09-23, Bills, 138, 34, 206, 35, 22, 10, 75, 1, 0, 19, 14, 4, 0, 0, 1976, 24, Browns, 33, 13, 207, 43, 27, 6, 57, 0, 2, 17, 11, 3, 0, 0, 1624, 14
2012-09-23, Bengals, 93, 28, 385, 28, 20, 8, 80, 1, 1, 22, 9, 3, 1, 0, 1650, 38, Redskins, 202, 35, 179, 34, 21, 6, 60, 1, 0, 31, 12, 3, 0, 0, 1950, 31
2012-09-24, Packers, 84, 21, 184, 39, 26, 10, 127, 0, 0, 22, 15, 7, 0, 0, 2019, 12, Seahawks, 127, 29, 111, 21, 10, 14, 118, 0, 0, 14, 11, 2, 3, 2, 1581, 14
2012-09-27, Browns, 43, 17, 314, 52, 25, 7, 66, 1, 1, 20, 15, 3, 1, 0, 1617, 16, Ravens, 101, 27, 337, 46, 28, 11, 100, 0, 1, 23, 15, 5, 1, 0, 1983, 23
2012-09-30, Panthers, 199, 35, 205, 25, 15, 9, 64, 1, 0, 21, 11, 4, 0, 0, 1806, 28, Falcons, 121, 19, 305, 40, 25, 2, 15, 0, 1, 24, 13, 5, 0, 0, 1794, 30
